Frame: 43797, Time: 02:27:13
Frame: 43801, Time: 02:27:14
Frame: 43802, Time: 02:27:14
Frame: 43803, Time: 02:27:14
Frame: 43804, Time: 02:27:14
Frame: 43805, Time: 02:27:15
Frame: 43806, Time: 02:27:15
Frame: 43807, Time: 02:27:15
Frame: 43808, Time: 02:27:15
Frame: 43809, Time: 02:27:16
Frame: 43810, Time: 02:27:16
Frame: 43811, Time: 02:27:16
Frame: 43812, Time: 02:27:16
Frame: 43813, Time: 02:27:16
Frame: 43814, Time: 02:27:17
Frame: 43815, Time: 02:27:17
Frame: 43816, Time: 02:27:17
Frame: 43817, Time: 02:27:17
Frame: 43818, Time: 02:27:17
Frame: 43819, Time: 02:27:18
Frame: 43820, Time: 02:27:18
Frame: 43821, Time: 02:27:18
Frame: 43824, Time: 02:27:19
Frame: 43827, Time: 02:27:19
Frame: 43932, Time: 02:27:40
Frame: 43936, Time: 02:27:41
Frame: 43937, Time: 02:27:41
Frame: 43938, Time: 02:27:42
Frame: 43939, Time: 02:27:42
Frame: 43940, Time: 02:27:42
Frame: 43941, Time: 02:27:42
Frame: 43942, Time: 02:27:42
Frame: 43943, Time: 02:27:43
Frame: 43944, Time: 02:27:43
Frame: 43945, Time: 02:27:43
Frame: 43946, Time: 02:27:43
Frame: 43947, Time: 02:27:43
Frame: 43948, Time: 02:27:44
Frame: 43951, Time: 02:27:44
Frame: 48038, Time: 02:41:28
Frame: 48039, Time: 02:41:29
Frame: 48040, Time: 02:41:29
Frame: 48041, Time: 02:41:29
Frame: 48042, Time: 02:41:29
Frame: 48043, Time: 02:41:29
Frame: 48044, Time: 02:41:30
Frame: 48045, Time: 02:41:30
Frame: 48046, Time: 02:41:30
Frame: 48047, Time: 02:41:30
Frame: 48048, Time: 02:41:30
Frame: 48049, Time: 02:41:31
Frame: 48050, Time: 02:41:31
Frame: 48051, Time: 02:41:31
Frame: 48052, Time: 02:41:31
Frame: 48053, Time: 02:41:31
Frame: 48054, Time: 02:41:32
Frame: 48055, Time: 02:41:32
Frame: 48056, Time: 02:41:32
Frame: 48057, Time: 02:41:32
Frame: 48058, Time: 02:41:33
Frame: 48059, Time: 02:41:33
Frame: 48060, Time: 02:41:33
Frame: 48061, Time: 02:41:33
Frame: 48062, Time: 02:41:33
Frame: 48063, Time: 02:41:34
Frame: 48064, Time: 02:41:34
Frame: 48077, Time: 02:41:36
Frame: 48078, Time: 02:41:37
Frame: 48079, Time: 02:41:37
Frame: 48080, Time: 02:41:37
Frame: 48081, Time: 02:41:37
Frame: 48082, Time: 02:41:37
Frame: 48083, Time: 02:41:38
Frame: 48084, Time: 02:41:38
Frame: 48085, Time: 02:41:38
Frame: 48086, Time: 02:41:38
Frame: 48087, Time: 02:41:38
Frame: 48088, Time: 02:41:39
Frame: 48089, Time: 02:41:39
Frame: 48090, Time: 02:41:39
Frame: 48091, Time: 02:41:39
Frame: 48092, Time: 02:41:39
Frame: 48093, Time: 02:41:40
Frame: 48094, Time: 02:41:40
Frame: 48095, Time: 02:41:40
Frame: 48096, Time: 02:41:40
Frame: 48100, Time: 02:41:41
Frame: 48101, Time: 02:41:41
Frame: 48102, Time: 02:41:41
Frame: 48103, Time: 02:41:42
Frame: 48104, Time: 02:41:42
Frame: 48105, Time: 02:41:42
Frame: 48107, Time: 02:41:42
Frame: 48483, Time: 02:42:58
Frame: 48485, Time: 02:42:59
Frame: 48486, Time: 02:42:59
Frame: 48490, Time: 02:43:00
Frame: 48491, Time: 02:43:00
Frame: 49006, Time: 02:44:44
Frame: 49007, Time: 02:44:44
Frame: 49008, Time: 02:44:44
Frame: 49009, Time: 02:44:44
Frame: 49010, Time: 02:44:45
Frame: 49011, Time: 02:44:45
Frame: 49013, Time: 02:44:45
Frame: 49014, Time: 02:44:45
Frame: 49015, Time: 02:44:46
Frame: 49016, Time: 02:44:46
Frame: 49017, Time: 02:44:46
Frame: 49018, Time: 02:44:46
Frame: 49019, Time: 02:44:46
Frame: 49020, Time: 02:44:47
Frame: 49021, Time: 02:44:47
Frame: 49022, Time: 02:44:47
Frame: 49023, Time: 02:44:47
Frame: 49024, Time: 02:44:47
Frame: 49025, Time: 02:44:48
Frame: 49026, Time: 02:44:48
Frame: 49027, Time: 02:44:48
Frame: 49028, Time: 02:44:48
Frame: 49029, Time: 02:44:48
Frame: 49030, Time: 02:44:49
Frame: 49031, Time: 02:44:49
Frame: 49032, Time: 02:44:49
Frame: 49033, Time: 02:44:49
Frame: 49034, Time: 02:44:49
Frame: 49035, Time: 02:44:50
Frame: 49036, Time: 02:44:50
Frame: 49037, Time: 02:44:50
Frame: 49041, Time: 02:44:51
Frame: 49042, Time: 02:44:51
Frame: 49043, Time: 02:44:51
Frame: 49044, Time: 02:44:51
Frame: 49047, Time: 02:44:52
Frame: 49940, Time: 02:47:52
Frame: 49941, Time: 02:47:52
Frame: 49942, Time: 02:47:52
Frame: 49944, Time: 02:47:53
Frame: 49948, Time: 02:47:54
